Ins1	Rot1	Ins2	Rot2	Ins3	Rot3	X	Y	Z
0	-90	0	-90	0	-90	-1.0	0.0	0.9966666666666664
0	-90	0	-90	0	-45	-1.0	0.0	0.9973333333333331
0	-90	0	-90	0	0	-1.0	0.0	0.9978666666666665
0	-90	0	-90	0	45	-1.0	0.0	0.9982933333333331
0	-90	0	-90	0	90	-1.0	0.0	0.9986346666666664
0	-90	0	-90	40	-90	6.868321979991585	-0.8844945950821375	13.760149590719616
0	-90	0	-90	40	-45	9.92736770069284	-1.5893503769751827	22.55683649183303
0	-90	0	-90	40	0	9.221170625134961	-1.7227936913663364	26.474004640387317
0	-90	0	-90	40	45	8.103225892844062	-0.7161636761413104	29.646153297750644
0	-90	0	-90	40	90	5.976429599741662	0.3270922664444995	32.09620528429439
0	-90	0	-90	80	-90	11.905040904444853	-1.2140533834284153	46.09256553353994
0	-90	0	-90	80	-45	15.642115998194637	-3.0758705327306943	56.77656337291257
0	-90	0	-90	80	0	15.988224568024252	-2.9972948663563876	61.85482270381543
0	-90	0	-90	80	45	14.729808805628638	-0.02382810820225245	65.99421265790193
0	-90	0	-90	80	90	10.52215140232182	2.7021212378915074	69.31030234260629
0	-90	0	-90	120	-90	15.179235916585998	-0.6550414474202295	83.47198974803031
0	-90	0	-90	120	-45	18.448681615049015	-3.276591038326531	94.60180854554058
0	-90	0	-90	120	0	18.34947998542494	-2.6985616173212117	100.06141204990956
0	-90	0	-90	120	45	16.592595023474836	0.4666219270386618	104.56425994466923
0	-90	0	-90	120	90	11.994898496179454	3.1704154328467355	108.24884035426227
0	-90	0	-90	160	-90	16.83403577894605	-0.242255135306928	122.44708542925292
0	-90	0	-90	160	-45	20.059085611729703	-2.8699670579947094	133.79182881806898
0	-90	0	-90	160	0	19.777800169289968	-2.3075346694319503	139.41796007116488
0	-90	0	-90	160	45	17.801440525252058	0.8058154170166274	144.06866097007918
0	-90	0	-90	160	90	13.004015799951844	3.4407823475784403	147.9054269824019
0	-90	0	-90	200	-90	15.813290841346927	-0.026871664706939136	162.84327208621892
0	-90	0	-90	200	-45	18.033236670620575	-2.6871191644654027	173.94078652985536
0	-90	0	-90	200	0	17.354442339461478	-2.150987453713874	179.18119935695844
0	-90	0	-90	200	45	15.330041052568262	0.9340205582906855	183.521363731601
0	-90	0	-90	200	90	10.677750179771737	3.541000280663787	187.15198340424578
0	-90	0	-45	0	-90	-0.9999999992141805	-1.5319886839969708e-10	0.7784813727314802
0	-90	0	-45	0	-45	-0.9999999993713444	-1.2255909471975766e-10	0.8227850981851841
0	-90	0	-45	0	0	-0.9999999994970756	-9.804727577580613e-11	0.8582280785481472
0	-90	0	-45	0	45	-0.9999999995976606	-7.843782062064491e-11	0.8865824628385177
0	-90	0	-45	0	90	-0.9999999996781286	-6.275025649651592e-11	0.9092659702708141
0	-90	0	-45	40	-90	6.84209334518947	-0.8839507954143279	13.711946090716078
0	-90	0	-45	40	-45	9.87837967777609	-1.5857699534049379	22.538343935102596
0	-90	0	-45	40	0	9.157199860638569	-1.718983367916031	26.47369482975674
0	-90	0	-45	40	45	8.032487378994636	-0.7115257802992097	29.653589687963553
0	-90	0	-45	40	90	5.904702710114355	0.33286270371274407	32.10363202627022
0	-90	0	-45	80	-90	11.842391302726433	-1.2057164706633188	46.1083674870087
0	-90	0	-45	80	-45	15.581810869056344	-3.0648674072602184	56.8003320582524
0	-90	0	-45	80	0	15.929582029614071	-2.9868506292937687	61.88132669522833
0	-90	0	-45	80	45	14.67454998331689	-0.01534752918928195	66.01687521445466
0	-90	0	-45	80	90	10.47179791493894	2.708649270523526	69.32560473996467
0	-90	0	-45	120	-90	15.137090190218021	-0.6496279993292431	83.48848737877239
0	-90	0	-45	120	-45	18.41095780992407	-3.2722315385518406	94.61981622746337
0	-90	0	-45	120	0	18.315585105908085	-2.695213063361411	100.0786472451833
0	-90	0	-45	120	45	16.56252055316887	0.46920026414065763	104.5784712802033
0	-90	0	-45	120	90	11.968555487697195	3.1724760655527886	108.25905437092598
0	-90	0	-45	160	-90	16.812270964458325	-0.24055790651070375	122.45581722581136
0	-90	0	-45	160	-45	20.04026541711132	-2.8686345382099656	133.79992978698618
0	-90	0	-45	160	0	19.76148602132028	-2.3065190966997364	139.42506606737106
0	-90	0	-45	160	45	17.787379656390165	0.8066183443445021	144.0742736694838
0	-90	0	-45	160	90	12.991972729610618	3.441443157543478	147.90938149898844
0	-90	0	-45	200	-90	15.803498450814523	-0.026330131108659227	162.84601969046784
0	-90	0	-45	200	-45	18.025342642043555	-2.6866949264018847	173.9429315847777
0	-90	0	-45	200	0	17.348117646979418	-2.1506625954052625	179.18294147616479
0	-90	0	-45	200	45	15.324978177743093	0.9342815601150667	183.52266902263298
0	-90	0	-45	200	90	10.67369332506931	3.5412175608702023	187.15288665468353
0	-90	0	0	0	-90	-0.9999999992122723	-1.5329334704879378e-10	0.7782112724198706
0	-90	0	0	0	-45	-0.999999999369818	-1.2263467763903502e-10	0.8225690179358964
0	-90	0	0	0	0	-0.9999999994958545	-9.810774211122802e-11	0.8580552143487171
0	-90	0	0	0	45	-0.9999999995966837	-7.848619368898241e-11	0.8864441714789737
0	-90	0	0	0	90	-0.9999999996773471	-6.278895495118592e-11	0.9091553371831789
0	-90	0	0	40	-90	6.8420585112792365	-0.8839502520136754	13.71188702905475
0	-90	0	0	40	-45	9.878315297080736	-1.585765516384585	22.538321649441993
0	-90	0	0	40	0	9.15711642547486	-1.7189785238814361	26.47369488648542
0	-90	0	0	40	45	8.03239567823902	-0.7115198497503388	29.653599120847137
0	-90	0	0	40	90	5.904610274725836	0.3328700375603575	32.10364117567551
0	-90	0	0	80	-90	11.84231058398424	-1.2057057747308526	46.108387572076
0	-90	0	0	80	-45	15.581733341165451	-3.064853349270881	56.800362356670064
0	-90	0	0	80	0	15.929506859364514	-2.9868373869191083	61.88136055709384
0	-90	0	0	80	45	14.674479401344207	-0.015336854216885687	66.0169042726351
0	-90	0	0	80	90	10.471733817455952	2.7086574450852594	69.32562446873297
0	-90	0	0	120	-90	15.137036615093194	-0.6496211463013086	83.4885085925832
0	-90	0	0	120	-45	18.410909936967943	-3.272226005213868	94.61983933786364
0	-90	0	0	120	0	18.315542108895368	-2.6952088227771167	100.07866938033614
0	-90	0	0	120	45	16.56248250473867	0.4692034815004984	104.57848956437066
0	-90	0	0	120	90	11.968522234946143	3.172478626936194	108.25906754546406
0	-90	0	0	160	-90	16.81224323624116	-0.24055579430863272	122.45582848570287
0	-90	0	0	160	-45	20.040241529660687	-2.8686329115659155	133.79994021420666
0	-90	0	0	160	0	19.76146542420355	-2.306517890038511	139.4250752251165
0	-90	0	0	160	45	17.787361897363567	0.8066191605375606	144.0742809170287
0	-90	0	0	160	90	12.991957662713338	3.441443820257658	147.9093866174509
0	-90	0	0	200	-90	15.803485020904748	-0.02632990456186679	162.84602334812845
0	-90	0	0	200	-45	18.02533131994344	-2.686694776325438	173.9429344837838
0	-90	0	0	200	0	17.34810794317405	-2.150662281867167	179.18294387837474
0	-90	0	0	200	45	15.324970294238382	0.9342816163042542	183.52267084997965
0	-90	0	0	200	90	10.673687153441623	3.5412176215615303	187.1528879115651
0	-90	0	45	0	-90	-0.9999999992131533	-1.5348080182087366e-10	0.7782109380517629
0	-90	0	45	0	-45	-0.9999999993705228	-1.2278464145669893e-10	0.8225687504414103
0	-90	0	45	0	0	-0.9999999994964183	-9.822771316535914e-11	0.8580550003531282
0	-90	0	45	0	45	-0.9999999995971347	-7.858217053228731e-11	0.8864440002825025
0	-90	0	45	0	90	-0.9999999996777078	-6.286573642582984e-11	0.9091552002260019
0	-90	0	45	40	-90	6.842058468160326	-0.8839502515585229	13.711886955394371
0	-90	0	45	40	-45	9.878315217649927	-1.5857655112150026	22.53832162107112
0	-90	0	45	40	0	9.157116321844468	-1.71897851851873	26.473694885853273
0	-90	0	45	40	45	8.032395564497715	-0.7115198430299667	29.65359913201285
0	-90	0	45	40	90	5.904610160182534	0.33287004605499315	32.10364118661315
0	-90	0	45	80	-90	11.842310485414261	-1.2057057621624658	46.10838759730517
0	-90	0	45	80	-45	15.58173324976826	-3.0648533336744785	56.80036239235482
0	-90	0	45	80	0	15.92950677580479	-2.98683737317134	61.88136059723498
0	-90	0	45	80	45	14.674479326498396	-0.01533683268781072	66.01690430750071
0	-90	0	45	80	90	10.471733741402076	2.708657461621074	69.3256244926261
0	-90	0	45	120	-90	15.137036351871009	-0.6496210960024631	83.48850865082903
0	-90	0	45	120	-45	18.410909617540725	-3.2722259500560273	94.61983941063343
0	-90	0	45	120	0	18.315541956235382	-2.69520872189417	100.07866945613719
0	-90	0	45	120	45	16.56248233953745	0.46920360048215004	104.57848962549872
0	-90	0	45	120	90	11.968522104543526	3.1724787204389266	108.259067584953
0	-90	0	45	160	-90	16.81224265208292	-0.24055565551808744	122.45582856707945
0	-90	0	45	160	-45	20.040241049933393	-2.868632789122934	133.79994029097085
0	-90	0	45	160	0	19.761464543770025	-2.306517729776881	139.42507530411893
0	-90	0	45	160	45	17.787361170503015	0.8066192752043153	144.07428098347327
0	-90	0	45	160	90	12.991956964034937	3.4414439089472295	147.90938665756462
0	-90	0	45	200	-90	15.803484187434183	-0.026328861167284945	162.84602336583472
0	-90	0	45	200	-45	18.025330779420536	-2.686693903612532	173.94293451910903
0	-90	0	45	200	0	17.348107302256654	-2.1506618065266045	179.18294391413053
0	-90	0	45	200	45	15.324969847750516	0.9342819894607541	183.5226708695723
0	-90	0	45	200	90	10.673686337728878	3.5412179021188006	187.15288792576823
0	-90	0	90	0	-90	-0.999999999213824	-1.5328021955188114e-10	0.7782109376378694
0	-90	0	90	0	-45	-0.9999999993710593	-1.226241756415049e-10	0.8225687501102955
0	-90	0	90	0	0	-0.9999999994968476	-9.809934051320393e-11	0.8580550000882363
0	-90	0	90	0	45	-0.9999999995974782	-7.847947241056314e-11	0.886444000070589
0	-90	0	90	0	90	-0.9999999996779827	-6.27835779284505e-11	0.9091552000564711
0	-90	0	90	40	-90	6.842058468116615	-0.8839502513892757	13.711886954713213
0	-90	0	90	40	-45	9.878315217659972	-1.5857655109785505	22.53832162072346
0	-90	0	90	40	0	9.157116322019235	-1.718978517992253	26.47369488563406
0	-90	0	90	40	45	8.032395564580092	-0.7115198424045379	29.653599131826457
0	-90	0	90	40	90	5.904610160252297	0.33287004661818953	32.1036411864388
0	-90	0	90	80	-90	11.84231049239045	-1.2057057650001441	46.10838759190603
0	-90	0	90	80	-45	15.581733259423	-3.0648533361867134	56.80036238692915
0	-90	0	90	80	0	15.92950676509909	-2.9868373734613325	61.88136059196133
0	-90	0	90	80	45	14.674479316973194	-0.015336845745244077	66.01690430297128
0	-90	0	90	80	90	10.471733745205679	2.708657450841916	69.32562448889612
0	-90	0	90	120	-90	15.137036410542905	-0.6496210875463269	83.4885086337327
0	-90	0	90	120	-45	18.410909726419256	-3.272225940453975	94.61983938826567
0	-90	0	90	120	0	18.31554202573873	-2.695208778062498	100.07866943108952
0	-90	0	90	120	45	16.562482390705405	0.4692034922069439	104.57848960470264
0	-90	0	90	120	90	11.96852214675429	3.1724786348311276	108.25906757309679
0	-90	0	90	160	-90	16.81224386965118	-0.24055605214462839	122.45582844297778
0	-90	0	90	160	-45	20.040241813590814	-2.8686331329942494	133.79994018833153
0	-90	0	90	160	0	19.761465436826345	-2.306518188493679	139.425075196609
0	-90	0	90	160	45	17.787361948593414	0.8066189640172738	144.07428090195634
0	-90	0	90	160	90	12.991957514106005	3.4414436752824025	147.90938661773507
0	-90	0	90	200	-90	15.803486727177807	-0.026329711130761435	162.8460232055724
0	-90	0	90	200	-45	18.025332739641204	-2.6866946757118515	173.9429343571951
0	-90	0	90	200	0	17.34810953024525	-2.150662301314891	179.18294374186706
0	-90	0	90	200	45	15.324971680115965	0.9342815658127512	183.52267072862062
0	-90	0	90	200	90	10.673688213396082	3.5412176258686667	187.15288783987216
0	-90	40	-90	0	-90	7.723026593475103	1.5991056436128055	158.095951193264
0	-90	40	-90	0	-45	5.354818754452884	0.03750873448971492	134.72319927607293
0	-90	40	-90	0	0	3.458587456357235	-1.2126013607540458	115.9423180126481
0	-90	40	-90	0	45	1.9422878908256966	-2.2109957536778175	100.86408728027772
0	-90	40	-90	0	90	0.7306338105037615	-3.0074583683712492	88.76695007777332
0	-90	40	-90	40	-90	-0.19125786941199685	-3.55128192659525	79.07894451626377
0	-90	40	-90	40	-45	-0.3539949520422841	-3.9620342781501545	71.35173492070703
0	-90	40	-90	40	0	-0.20436545831015507	-3.792495929893058	65.24376616679498
0	-90	40	-90	40	45	-0.36392737031491396	-3.156177100083271	60.406407818460785
0	-90	40	-90	40	90	-1.0667588321974724	-2.618805331003877	56.51402754354008
