Ins1	Rot1	Ins2	Rot2	Ins3	Rot3	X	Y	Z
0	-90	0	-90	0	-90	-0.9999999999781279	0.0	0.9966666666448852
0	-90	0	-90	0	-45	-0.9999999999825024	0.0	0.9973333333159081
0	-90	0	-90	0	0	-0.9999999999860021	0.0	0.9978666666527265
0	-90	0	-90	0	45	-0.9999999999888017	0.0	0.9982933333221812
0	-90	0	-90	0	90	-0.9999999999910415	0.0	0.9986346666577449
0	-90	0	-90	40	-90	6.865209233782993	-1.0166604541322382	13.827683367809488
0	-90	0	-90	40	-45	9.778557096373463	-1.8267077555505402	22.46494162726286
0	-90	0	-90	40	0	9.27922331257925	-2.020456705392803	26.44747511948187
0	-90	0	-90	40	45	8.272101515431112	-0.8752403508197919	29.66784213692204
0	-90	0	-90	40	90	6.051070133306533	0.3328265433664257	32.13667990881135
0	-90	0	-90	80	-90	11.779654238743447	-1.4324065297227453	46.147128625716974
0	-90	0	-90	80	-45	15.728784991407892	-3.569102246806665	56.79100416683214
0	-90	0	-90	80	0	16.53279811139045	-3.499393477523045	61.86644476424574
0	-90	0	-90	80	45	15.454891454174065	-0.07949311375040846	66.03807239969844
0	-90	0	-90	80	90	10.92459065172631	3.0733150423343334	69.40323800304641
0	-90	0	-90	120	-90	15.270091179906078	-0.7671231876464559	83.6274218664376
0	-90	0	-90	120	-45	18.750768616294405	-3.781367258444021	94.71167513845955
0	-90	0	-90	120	0	19.06075205813793	-3.11871893350036	100.12232403675675
0	-90	0	-90	120	45	17.41762029872653	0.5194360496901309	104.63080477931808
0	-90	0	-90	120	90	12.458530891001807	3.6313852489178253	108.36110588674539
0	-90	0	-90	160	-90	16.993106669347586	-0.2821827851902796	122.63090649483021
0	-90	0	-90	160	-45	20.427370907424287	-3.3026841237316904	133.925298786706
0	-90	0	-90	160	0	20.538567680409443	-2.655900794328868	139.48604229285212
0	-90	0	-90	160	45	18.65783489534336	0.9206532660731481	144.1288234199041
0	-90	0	-90	160	90	13.488373551893382	3.9491790826476665	148.0102711565953
0	-90	0	-90	200	-90	15.994752626789923	-0.029929952932090664	163.02901233277265
0	-90	0	-90	200	-45	18.422499409551378	-3.088058297040047	174.0777145333965
0	-90	0	-90	200	0	18.13109638651485	-2.47145518285568	179.24811936870213
0	-90	0	-90	200	45	16.197089425475276	1.0717681597006896	183.57613098593998
0	-90	0	-90	200	90	11.16961059371116	4.066919286317023	187.2515963936779
0	-90	0	-45	0	-90	-0.9999999991841756	-1.7587734940895714e-10	0.7784813727285121
0	-90	0	-45	0	-45	-0.9999999993473405	-1.4070187952716572e-10	0.8227850981828096
0	-90	0	-45	0	0	-0.9999999994778725	-1.1256150362173257e-10	0.8582280785462477
0	-90	0	-45	0	45	-0.9999999995822981	-9.004920289738605e-11	0.8865824628369982
0	-90	0	-45	0	90	-0.9999999996658386	-7.203936231790884e-11	0.9092659702695984
0	-90	0	-45	40	-90	6.839283037350026	-1.016035396621241	13.779318397931203
0	-90	0	-45	40	-45	9.729518423846443	-1.82268398098417	22.446459745101915
0	-90	0	-45	40	0	9.214950573258633	-2.0162651316486895	26.447485443392992
0	-90	0	-45	40	45	8.201133969877052	-0.8701141330720508	29.675715080871985
0	-90	0	-45	40	90	5.979272834390933	0.339282986172011	32.14429869652809
0	-90	0	-45	80	-90	11.717140661696323	-1.4229675564725874	46.162816000593686
0	-90	0	-45	80	-45	15.66859929114065	-3.556564331958255	56.81515479270648
0	-90	0	-45	80	0	16.474092090438443	-3.487489866831773	61.89377134973381
0	-90	0	-45	80	45	15.399492854350058	-0.06985133079876427	66.06132788226944
0	-90	0	-45	80	90	10.87413703170768	3.080741465288824	69.41856671232827
0	-90	0	-45	120	-90	15.227811546761046	-0.7609313929397548	83.64390756741335
0	-90	0	-45	120	-45	18.71289767564741	-3.7763916496735686	94.72991177370847
0	-90	0	-45	120	0	19.026736482854485	-3.1149175372303466	100.13991485674526
0	-90	0	-45	120	45	17.38746098235318	0.5223637115845774	104.64525765215473
0	-90	0	-45	120	90	12.43211845433045	3.633738254115017	108.37134277202955
0	-90	0	-45	160	-90	16.97125193916614	-0.28023433473795833	122.63963189134634
0	-90	0	-45	160	-45	20.40846703055479	-3.301158615211231	133.93347471237735
0	-90	0	-45	160	0	20.52219351976586	-2.6547449947768897	139.49327024026735
0	-90	0	-45	160	45	18.643733412048373	0.9215684923725029	144.13452086752127
